nome,url
Gospel Movie TV (360p),https://stmv1.srvif.com/gospelf/gospelf/playlist.m3u8
Gospel Cartoon (360p),https://stmv1.srvif.com/gospelcartoon/gospelcartoon/playlist.m3u8
Ascame TV (320p),https://livefocamundo.com:8081/ascametv/index.m3u8
EUTV (720p),https://cdn.jmvstream.com/w/LVW-8719/LVW8719_AcLVAxWy5J/playlist.m3u8
Fonte TV (1080p) [Not 24/7],http://flash.softhost.com.br:1935/fonte/fontetv/live.m3u8
IMPD TV (720p),https://58a4464faef53.streamlock.net/impd/ngrp:impd_all/playlist.m3u8
Kuriakos Cine (1080p),https://w2.manasat.com/kcine/smil:kcine.smil/playlist.m3u8
Kuriakos Kids (1080p),https://w2.manasat.com/kcine/smil:kcine.smil/playlist.m3u8
Nova Era TV (1080p) [Not 24/7],http://wz3.dnip.com.br:1935/novaeratv/novaeratv.sdp/live.m3u8
Novo Tempo (720p),https://stream.live.novotempo.com/tv/smil:tvnovotempo.smil/playlist.m3u8
TV Evangelizar (480p),https://5f593df7851db.streamlock.net/evangelizar/tv/playlist.m3u8
TV Gideoes (1080p) [Not 24/7],https://streaming01.zas.media/gideoes/programacao/playlist.m3u8